year,certificate,movielist
1989,A,Dead Calm
2009,UA,Adventureland
II 2019,UA,Judy
2010,Not Rated,Tres metros sobre el cielo
2006,R,Tenacious D in The Pick of Destiny
2022,Not Rated,Eo
2005,UA,Four Brothers
1978,A,Magic
I 2017,Not Rated,To the Bone
2019,A,Motherless Brooklyn
2011,R,Goon
2011,R,Martha Marcy May Marlene
2001,U,Jay and Silent Bob Strike Back
I 2012,PG-13,The First Time
1999,R,Detroit Rock City
1981,A,History of the World: Part I
1991,UA,Dead Again
2009,U,A Christmas Carol
I 2015,R,Truth
I 2013,PG-13,The F Word
2022,A,Athena
2019,13,Always Be My Maybe
1960,Not Rated,The Alamo
I 2011,UA,Unknown
1989,A,"See No Evil, Hear No Evil"
2018,UA 16+,Calibre
2014,PG-13,Eliza Graves
1990,Not Rated,The Rescuers Down Under
2020,PG-13,What Is Life Worth
2008,R,The Burning Plain
1992,R,El mariachi
2008,U,Sunshine Cleaning
1958,Not Rated,Bell Book and Candle
2014,U,Mr. Peabody & Sherman
2007,R,I'm Not There
2006,U,Ice Age: The Meltdown
2019,R,Danger Close: The Battle of Long Tan
2010,A,Green Zone
2016,R,The Exception
2007,PG-13,Elizabeth: The Golden Age
I 2011,PG-13,Anonymous
1995,U,The American President
2006,PG-13,Tristan + Isolde
1989,UA,The War of the Roses
2008,PG-13,Bottle Shock
2001,R,Lost and Delirious
2020,R,Nine Days
1989,A,Sea of Love
2015,All,The Diary of a Teenage Girl
2022,UA,Bhediya
2011,PG-13,Bernie
1977,Not Rated,Capricorn One
2007,R,Rise of the Footsoldier
1995,U,Devil in a Blue Dress
1966,PG,Fantastic Voyage
2005,R,Harsh Times
1973,A,Coffy
2011,Not Rated,Kyss mig
2018,PG-13,Arctic
2016,PG-13,Collateral Beauty
I 2021,A,Swan Song
1985,U,Enemy Mine
1992,R,Romper Stomper
2014,PG,The Boxtrolls
2021,13,The Map of Tiny Perfect Things
2012,UA,Hitchcock
1973,G,The Golden Voyage of Sinbad
1998,UA,Ngo si seoi
1976,U,Bugsy Malone
2017,R,A Prayer Before Dawn
2016,U,Florence Foster Jenkins
1985,UA,Young Sherlock Holmes
1993,A,Heaven & Earth
2019,R,The Last Full Measure
1998,R,Idioterne
2018,PG-13,Wildlife
2020,18,The Boys in the Band
2016,PG-13,Under the Shadow
II 2016,PG-13,Denial
I 2010,18,The Debt
2013,PG-13,The East
2007,R,We Own the Night
1982,U,Dead Men Don't Wear Plaid
2018,R,"Don't Worry, He Won't Get Far on Foot"
I 2015,R,A Perfect Day
1991,A,The Prince of Tides
1981,Not Rated,Ms .45
2002,R,Spider
I 2015,R,Man Up
2002,PG,The Importance of Being Earnest
I 2010,(Banned),Fair Game
2004,A,The Football Factory
2017,18,Kodachrome
1998,PG,Simon Birch
1993,UA,Six Degrees of Separation
2000,Not Rated,Jalla! Jalla!
1991,R,Bugsy
1971,Not Rated,Soleil rouge
1976,Not Rated,Family Plot
1969,Not Rated,Fellini - Satyricon
1985,A,Year of the Dragon
1988,A,Shoot to Kill
2014,R,Jersey Boys
2017,Not Rated,La ragazza nella nebbia
2015,PG,Mr. Holmes
1978,Not Rated,The Wild Geese
2019,R,Monos
1972,Not Rated,The Mechanic
1998,R,Bulworth
1953,Not Rated,How to Marry a Millionaire
2018,Not Rated,T-34
2002,R,Poolhall Junkies
2007,R,Rendition
2014,R,Mr. Turner
2009,R,Middle Men
2014,PG-13,Beyond the Lights
1965,U,Battle of the Bulge
1993,U,Untamed Heart
1991,R,Bis ans Ende der Welt
III 2017,Not Rated,Beast
2006,Not Rated,Taxidermia
2011,UA,Salmon Fishing in the Yemen
1972,Not Rated,Slaughterhouse-Five
1995,R,Othello
2017,UA,Victoria & Abdul
2014,R,DÃ¸d snÃ¸ 2
2012,PG-13,Quartet
1966,Not Rated,Harper
2012,Not Rated,Dodookdeul
2019,R,Brittany Runs a Marathon
2014,R,Clouds of Sils Maria
1996,PG-13,Beavis and Butt-Head Do America
2005,PG,Dreamer: Inspired by a True Story
1990,UA,Quick Change
1970,Not Rated,Chisum
2018,R,Black '47
2020,13,Penguin Bloom
I 2007,R,Snow Angels
2009,PG-13,Ondine
2019,R,The Mustang
2009,R,Tetro
2012,Not Rated,Tengo ganas de ti
2013,R,Night Train to Lisbon
2008,R,Flashbacks of a Fool
2011,U,Dolphin Tale
2016,R,Their Finest
1975,Not Rated,Rooster Cogburn
1985,Not Rated,The Falcon and the Snowman
2022,UA,HIT: The First Case
2008,Not Rated,Che: Part Two
2017,Not Rated,Toc Toc
1992,U,Thunderheart
2011,R,Puncture
1967,Not Rated,The War Wagon
2006,R,The History Boys
2004,Not Rated,SuchÃ®mubÃ´i
2003,R,Intermission
2003,R,Veronica Guerin
2016,Not Rated,Teo-neol
1985,Not Rated,My Beautiful Laundrette
2017,R,Sidney Hall
I 1999,PG-13,An Ideal Husband
I 2016,Not Rated,Other People
2015,PG-13,Miss You Already
2005,R,The Upside of Anger
2016,Not Rated,Juste la fin du monde
2019,U,A Shaun the Sheep Movie: Farmageddon
1990,Not Rated,DuckTales the Movie: Treasure of the Lost Lamp
1993,PG-13,My Life
1984,Not Rated,The Muppets Take Manhattan
2017,PG,Meari to majo no hana
2001,R,Storytelling
1986,A,She's Gotta Have It
2004,U,Millions
2005,R,Keeping Mum
1999,U,Music of the Heart
2020,13,La vita davanti a sÃ©
2018,Not Rated,Le jeu
2015,R,People Places Things
1937,Not Rated,Young and Innocent
2006,Not Rated,Red Road
1998,UA,Torrente: El brazo tonto de la ley
2006,PG,The Nativity Story
2016,R,Indignation
2012,UA,The Reluctant Fundamentalist
2010,R,Autoreiji
2016,R,Neruda
2010,18,Cemetery Junction
1999,UA,Cookie's Fortune
1989,U,The Gods Must Be Crazy II
I 2009,Not Rated,Ink
2019,UA,Good Newwz
2017,R,Patti Cake$
2003,Not Rated,Azumi
1999,UA,Baadshah
2013,Not Rated,Big Bad Wolves
2013,PG-13,One Chance
2007,R,The Hunting Party
2008,Not Rated,Issiz Adam
I 2017,Not Rated,Le sens de la fÃªte
1991,Not Rated,Kafka
2013,R,The Disappearance of Eleanor Rigby: Him
2009,Not Rated,Mammoth
2003,Not Rated,Mou gaan dou III: Jung gik mou gaan
2011,UA,Singham
2005,R,Shinobi
2001,R,Intacto
2008,R,Lymelife
1995,UA,Karan Arjun
I 2008,R,Paris
2009,UA,Love Aaj Kal
2012,R,Populaire
2022,UA,Attack
2008,R,Fifty Dead Men Walking
I 2007,R,Interview
2021,UA,Chandigarh Kare Aashiqui
2010,R,Ã bout portant
2011,R,Xin shao lin si
2009,UA,New York
2021,13,Sherni
2014,UA,Hasee Toh Phasee
2009,Not Rated,OSS 117: Rio ne rÃ©pond plus
2009,PG-13,The Boys Are Back
2014,U,Mary Kom
1985,Not Rated,AstÃ©rix et la surprise de CÃ©sar
1997,UA,Ishq
2011,UA,Tanu Weds Manu
2023,UA,Indiana Jones and the Dial of Destiny
I 2023,UA,The Flash
2007,R,Trick 'r Treat
2018,UA,The Equalizer 2
2000,A,Final Destination
2011,UA,In Time
2004,A,The Girl Next Door
2017,A,Kingsman: The Golden Circle
1988,UA,Child's Play
2022,A,Three Thousand Years of Longing
2005,U,Charlie and the Chocolate Factory
2008,A,Eden Lake
1996,UA,Romeo + Juliet
2010,UA,Love & Other Drugs
2023,PG-13,Champions
2022,UA,Black Panther: Wakanda Forever
2002,A,Unfaithful
1991,UA,Backdraft
1989,Not Rated,Road House
1998,UA,Armageddon
2022,UA 16+,Purple Hearts
2016,U,Miss Peregrine's Home for Peculiar Children
2005,A,The Devil's Rejects
I 2009,A,The Proposal
2021,UA,Black Widow
1992,A,Candyman
2004,UA,Dodgeball: A True Underdog Story
2021,18,Fear Street: 1978
2012,UA,Safe House
2017,A,King Arthur: Legend of the Sword
2010,18,The A-Team
1999,UA,The Ninth Gate
1998,U,You've Got Mail
2005,PG,The Hitchhiker's Guide to the Galaxy
2022,PG-13,Redeeming Love
2005,A,The Exorcism of Emily Rose
1999,A,The Bone Collector
2022,13,The Adam Project
2020,18,The Old Guard
2017,UA,Kong: Skull Island
2020,UA 13+,Emma.
1993,U,Robin Hood: Men in Tights
2019,UA,Jumanji: The Next Level
1986,UA,Pretty in Pink
2013,A,Jeune et Jolie
2002,18,Blade II
2009,R,Pandorum
1985,A,Commando
1984,A,Police Academy
2023,A,Sharper
2019,A,Zombieland: Double Tap
2001,A,From Hell
2008,A,Wanted
I 2020,16,Run
I 2005,R,Waiting...
2011,A,The Grey
1987,Not Rated,Prince of Darkness
2019,R,Saint Maud
1987,A,The Running Man
2022,A,Violent Night
2020,PG,The Call of the Wild
2022,R,Emily the Criminal
2019,A,Midway
I 2014,R,The Guest
2013,UA,The Wolverine
2023,Not Rated,Reality
I 2018,UA,Bumblebee
1993,A,Demolition Man
2013,UA 16+,Stoker
1996,U,James and the Giant Peach
1984,PG,Streets of Fire
2017,A,Atomic Blonde
1973,U,Live and Let Die
2003,A,Haute tension
1995,UA,Empire Records
1985,U,Return to Oz
2011,A,Killer Joe
2016,UA,Warcraft
1981,UA,For Your Eyes Only
2002,U,Bend It Like Beckham
2018,U,Mary Poppins Returns
1992,A,The Hand That Rocks the Cradle
2021,Not Rated,Benedetta
2012,A,American Reunion
2017,U,Cars 3
2004,PG-13,Primer
I 1995,U,Pocahontas
1969,U,On Her Majesty's Secret Service
2019,UA,Good Boys
2013,A,Escape Plan
1999,UA,Blast from the Past
1985,U,Cocoon
2022,U,One Piece Film Red
2021,18,The Lost Daughter
1982,U,Tron
1984,Not Rated,2010: The Year We Make Contact
2017,R,Marrowbone
1971,U,THX 1138
2001,UA,Rush Hour 2
I 2021,PG-13,Land
1981,Not Rated,Scanners
II 2013,A,The Call
2013,R,Out of the Furnace
2007,PG,Surf's Up
2017,A,You Were Never Really Here
2018,Not Rated,Summer of 84
2013,A,2 Guns
1983,Not Rated,Something Wicked This Way Comes
1995,R,Tales from the Crypt: Demon Knight
2003,UA,The Matrix Revolutions
I 2015,18,No Escape
2019,R,"Extremely Wicked, Shockingly Evil and Vile"
1991,U,Hot Shots!
2021,13,The Last Letter from Your Lover
I 2005,UA,Stay
2000,U,The Legend of Bagger Vance
1974,A,The Man with the Golden Gun
2008,A,The Other Boleyn Girl
2009,A,Angels & Demons
1998,A,City of Angels
1994,UA,Wyatt Earp
2022,A,Metal Lords
1994,UA,The Client
1985,A,Phenomena
2014,A,The Best of Me
2017,UA,Ferdinand
2013,A,Gangster Squad
2016,R,Popstar: Never Stop Never Stopping
1995,A,Four Rooms
2007,A,Ã l'intÃ©rieur
1987,UA,The Living Daylights
1986,A,Night of the Creeps
1999,PG-13,Drop Dead Gorgeous
2006,A,Underworld: Evolution
1980,A,Heaven's Gate
1984,U,The Last Starfighter
2007,PG-13,Hot Rod
1995,U,"To Wong Foo Thanks for Everything, Julie Newmar"
1988,U,Colors
2015,U,The Good Dinosaur
2014,UA,If I Stay
I 2017,R,Jungle
2020,R,Let Him Go
1999,R,Summer of Sam
2006,U,Over the Hedge
2006,R,The Good Shepherd
I 2010,R,Super
2005,PG-13,The New World
1992,R,Damage
1982,Not Rated,The Entity
2003,A,Swimming Pool
2022,UA 7+,Slumberland
1992,PG-13,Singles
1998,Not Rated,Sliding Doors
2010,PG-13,Wild Target
2008,R,Appaloosa
2003,PG-13,Under the Tuscan Sun
2000,A,The Whole Nine Yards
1995,UA,A Walk in the Clouds
1987,Not Rated,Hamburger Hill
1993,R,Kalifornia
2019,16,I Am Mother
2005,R,Imagine Me & You
2014,A,"Ich seh, Ich seh"
I 2014,Not Rated,Spring
2000,PG-13,Center Stage
2005,U,Just Like Heaven
2021,UA 16+,The Tender Bar
2020,18,Hillbilly Elegy
1990,U,Mermaids
2022,A,"Bardo, falsa crÃ³nica de unas cuantas verdades"
2011,R,Attack the Block
1997,A,Conspiracy Theory
2002,R,Spun
1987,Not Rated,The Stepfather
2007,R,Death Sentence
2015,A,Hardcore Henry
2002,PG,AstÃ©rix & ObÃ©lix : Mission ClÃ©opÃ¢tre
1997,R,U Turn
2011,Not Rated,The Inbetweeners Movie
2007,UA,Om Shanti Om
2017,UA,Battle of the Sexes
1995,R,Things to Do in Denver When You're Dead
2021,PG,After Yang
2001,A,Sweet November
I 2019,PG-13,Harriet
2000,U,Where the Heart Is
1992,R,Cronos
2014,R,The Salvation
I 1981,U,Taps
2018,Not Rated,A Futile and Stupid Gesture
I 2021,7,Vivo
2016,U,The Finest Hours
2003,PG-13,Something's Gotta Give
2004,R,My Summer of Love
2002,UA,Ju-on
2019,13,The Vast of Night
1989,U,All Dogs Go to Heaven
2009,U,Where the Wild Things Are
2006,U,Penelope
I 2008,PG-13,Ghost Town
2014,R,A Most Wanted Man
2001,UA,Ali
2002,U,K-19: The Widowmaker
1998,A,Apt Pupil
1998,UA,The Horse Whisperer
1997,A,Absolute Power
2004,PG-13,Saved!
I 2021,13,Moxie
1960,Not Rated,Exodus
1996,UA,Ransom
1991,U,Regarding Henry
V 2016,UA,Jackie
1987,A,Stakeout
2018,UA,The Old Man & the Gun
2019,A,The Good Liar
2016,PG,Ballerina
2016,UA,Pete's Dragon
1996,U,Marvin's Room
I 2018,18,The Professor
2014,PG-13,Veronica Mars
1992,UA,Lethal Weapon 3
1985,Not Rated,Flesh+Blood
I 2022,R,Fire Island
2009,R,Brooklyn's Finest
2004,UA,Hidalgo
1997,U,Nothing to Lose
2012,R,Seeking a Friend for the End of the World
2019,Not Rated,Der goldene Handschuh
2003,U,Sinbad: Legend of the Seven Seas
2011,R,This Must Be the Place
2011,R,Machine Gun Preacher
I 2018,R,Colette
1996,R,Everyone Says I Love You
1976,Not Rated,The Enforcer
1999,A,Analyze This
1965,Not Rated,Cat Ballou
2005,PG,Goal!
2017,PG-13,Please Stand By
1956,U,Around the World in 80 Days
1980,A,Used Cars
2007,Not Rated,Naissance des pieuvres
1973,Not Rated,The Legend of Hell House
2009,R,Blood and Bone
1970,Not Rated,Performance
2006,R,Behind the Mask: The Rise of Leslie Vernon
I 1991,U,White Fang
2014,Not Rated,Housebound
IV 2011,R,The Hunter
2012,U,The Pirates! In an Adventure with Scientists!
1994,U,The War
1970,G,Rio Lobo
2019,PG,Missing Link
2008,R,Rachel Getting Married
1991,U,L.A. Story
1964,Not Rated,The Last Man on Earth
2013,PG-13,Xi you: Xiang mo pian
1994,PG-13,With Honors
2022,PG-13,The Valet
1999,U,Anna and the King
1974,A,The Sugarland Express
I 2021,16,Passing
2018,UA,A Private War
1995,R,Kicking and Screaming
2003,Not Rated,Kopps
2011,R,Hysteria
1975,A,French Connection II
2014,R,Comet
2009,R,The Disappearance of Alice Creed
2007,R,The Brave One
2018,UA,Ben Is Back
2015,Not Rated,Turbo Kid
2010,R,The Company Men
1969,R,The Bridge at Remagen
2022,PG,A Christmas Story Christmas
2012,PG-13,Liberal Arts
2002,UA,Honogurai mizu no soko kara
1991,R,Frankie and Johnny
1980,Not Rated,La boum
2018,16,The Angel
1999,R,"Mystery, Alaska"
2018,PG,Teen Titans Go! To the Movies
1995,R,Hung fan kui
2005,PG-13,Proof
1994,PG-13,Don Juan DeMarco
1980,Not Rated,Seems Like Old Times
1983,A,Gorky Park
2003,R,All the Real Girls
1986,U,F/X
1976,Not Rated,Obsession
1956,U,War and Peace
2007,R,Eagle vs Shark
2019,U,A Dog's Way Home
1999,R,The Best Man
2014,R,Love Is Strange
1998,R,Slums of Beverly Hills
1998,R,The Last Days of Disco
I 1999,R,Ride with the Devil
1980,U,Stir Crazy
1990,U,Mo' Better Blues
I 2017,R,Journey's End
1985,A,Prizzi's Honor
2020,7,Nakitai watashi wa neko o kaburu
1990,UA,The Sheltering Sky
1968,Not Rated,Witchfinder General
1990,Not Rated,Postcards from the Edge
2010,R,Snabba cash
2009,R,Crossing Over
2006,R,Kidulthood
2017,R,Mugen no jÃ»nin
2011,R,Your Sister's Sister
2021,7,A Boy Called Christmas
1971,U,Le Mans
1993,PG-13,Swing Kids
2007,PG-13,Flawless
2008,PG-13,The Brothers Bloom
1953,UA,The Wild One
2006,R,Fido
I 2008,R,Elegy
2018,R,The Kindergarten Teacher
2015,PG-13,The Lady in the Van
2004,Not Rated,Gau ji
1988,U,The Accidental Tourist
1978,U,Battlestar Galactica
1972,Not Rated,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask
1984,Not Rated,Forbrydelsens element
1993,UA,The Man Without a Face
1993,R,M. Butterfly
2023,UA,Bheed
2010,Not Rated,Los ojos de Julia
1985,UA,The Quiet Earth
2005,PG,Mirrormask
2007,A,The Jane Austen Book Club
2015,R,Mistress America
2011,R,Albert Nobbs
2010,Not Rated,Loong Boonmee raleuk chat
1953,Not Rated,The Robe
2011,PG,Un monstre Ã  Paris
2017,R,The Children Act
1998,R,Primary Colors
2017,UA,Rebel in the Rye
2009,PG-13,The Soloist
2009,PG-13,Coco avant Chanel
2010,R,The Perfect Host
2014,Not Rated,Faults
2006,PG-13,A Prairie Home Companion
2001,R,Buffalo Soldiers
2014,R,Cold in July
2009,A,Taking Woodstock
1996,R,Flirting with Disaster
2015,R,Grandma
2009,R,Merantau
1976,U,Silent Movie
2005,R,The Matador
2016,Not Rated,Carrie Pilby
2006,PG-13,Starter for 10
2016,UA,Kingsglaive: Final Fantasy XV
1996,R,SubUrbia
2007,Not Rated,2 Days in Paris
2012,UA,Jab Tak Hai Jaan
1997,R,Fever Pitch
2001,PG-13,The Curse of the Jade Scorpion
2018,Not Rated,El fotÃ³grafo de Mauthausen
2019,Not Rated,Atlantique
2004,PG-13,Beyond the Sea
2015,Not Rated,MÃ¦nd & hÃ¸ns
2017,R,The Pirates of Somalia
2013,Not Rated,Mr. Morgan's Last Love
2012,R,Smashed
I 2013,Not Rated,Cheap Thrills
2001,U,The Shipping News
2007,Not Rated,He Was a Quiet Man
2018,R,Batman: Gotham by Gaslight
2013,R,In a World...
2017,R,Film Stars Don't Die in Liverpool
2022,UA,Mili
1995,R,The Last Supper
2001,Not Rated,Der Schuh des Manitu
2021,U,8-Bit Christmas
1996,U,Ghosts of Mississippi
2013,Not Rated,OXV: The Manual
2013,Not Rated,Borgman
2002,R,El crimen del padre Amaro
1994,U,The Paper
2010,R,Happythankyoumoreplease
2012,PG-13,The Giant Mechanical Man
2019,UA,Bigil
2000,A,Gangster No. 1
2004,Not Rated,Palindromes
2006,R,Big Nothing
2002,R,Morvern Callar
2010,A,L'arnacoeur
2000,R,State and Main
2008,PG-13,Me and Orson Welles
2002,R,Cypher
2023,UA,Surongo
2000,R,Girlfight
2009,R,Defendor
2014,R,Obvious Child
2003,PG-13,Saints and Soldiers
2007,R,The Air I Breathe
2016,Not Rated,Tallulah
2016,R,Don't Think Twice
2019,PG-13,Reign of the Supermen
1999,PG-13,Snow Falling on Cedars
2006,R,"Bon Cop, Bad Cop"
2008,Not Rated,The Escapist
1991,Not Rated,Shadows and Fog
2008,R,Redbelt
2006,R,The Hoax
2007,Not Rated,"Ensemble, c'est tout"
2007,R,Dou foh sin
2007,PG,Martian Child
2016,Not Rated,Tarde para la ira
I 2014,Not Rated,Babysitting
2021,UA 13+,Sanak
2014,R,Samba
2006,PG-13,Copying Beethoven
2019,Not Rated,Cinayet SÃ¼sÃ¼
2015,Not Rated,Fourth Man Out
I 2011,PG-13,Restless
2005,R,A Cock and Bull Story
2007,R,Aqua Teen Hunger Force Colon Movie Film for Theaters
2015,Not Rated,Delibal
2007,PG-13,Resurrecting the Champ
1997,U,Yes Boss
2006,PG-13,Catch a Fire
2011,Not Rated,Habemus Papam
2023,UA 13+,Chhatriwali
2022,UA,The Teacher
2005,UA,Garam Masala
2005,U,Waqt: The Race Against Time
2018,UA,Kedarnath
2004,UA,Mujhse Shaadi Karogi
2012,PG-13,Sleepwalk with Me
2018,Not Rated,AstÃ©rix: Le secret de la potion magique
2020,13,Chhalaang
II 2022,R,X
2023,PG-13,Asteroid City
2023,A,Evil Dead Rise
2005,A,Saw II
2013,A,Last Vegas
2023,A,Misanthrope
1998,UA,The Faculty
2021,UA,Jungle Cruise
2002,U,My Big Fat Greek Wedding
1997,A,Event Horizon
1991,A,Toy Soldiers
2017,A,Mother!
2018,A,Red Sparrow
2022,UA 16+,The Pale Blue Eye
2004,18,EuroTrip
2023,R,They Cloned Tyrone
1998,R,Wild Things
2012,A,The Expendables 2
1987,UA,A Nightmare on Elm Street 3: Dream Warriors
2002,UA,Star Wars: Episode II - Attack of the Clones
2004,UA,The Village
1983,Not Rated,The Hunger
2011,UA,Pirates of the Caribbean: On Stranger Tides
2022,Not Rated,Speak No Evil
2006,UA,Monster House
1992,A,Death Becomes Her
2009,Not Rated,Drag Me to Hell
2000,UA,The Replacements
2006,PG-13,Talladega Nights: The Ballad of Ricky Bobby
2014,UA,The Amazing Spider-Man 2
II 2019,A,Anna
2022,A,Lady Chatterley's Lover
I 2015,18,The Invitation
1988,A,The Blob
2018,UA,Venom
2014,UA,Divergent
2011,R,You're Next
2010,A,The Other Guys
1985,Not Rated,Weird Science
2002,A,Resident Evil
2017,UA,Happy Death Day
2000,UA,U-571
I 2013,A,Safe Haven
2021,UA,The Green Knight
2014,R,This Is Where I Leave You
1976,18,Ai no korÃ®da
II 2015,A,Focus
2019,UA,Glass
2021,A,House of Gucci
2013,A,This Is the End
I 2022,A,The Wonder
2018,18,Bird Box
2007,A,30 Days of Night
2020,16,I'm Thinking of Ending Things
I 2013,A,Elysium
I 2016,18,Hush
I 2016,UA,Jason Bourne
2014,UA,The Hunger Games: Mockingjay - Part 1
2021,13,The Tomorrow War
2008,UA,The Incredible Hulk
2006,A,X-Men: The Last Stand
2020,13,Enola Holmes
I 2000,A,The Beach
2009,UA,The Lovely Bones
2000,A,What Lies Beneath
2013,UA,Ender's Game
1989,U,Ghostbusters II
I 2015,R,Burnt
1982,U,Annie
2006,(Banned),The Da Vinci Code
2018,18,Overlord
1984,Not Rated,Revenge of the Nerds
2013,Not Rated,Nymphomaniac: Vol. II
1984,U,Footloose
I 2015,U,Joy
2017,All,Disobedience
2008,UA,Quantum of Solace
2017,UA,The Fate of the Furious
2012,R,Project X
1989,UA,Licence to Kill
2022,R,Empire of Light
1979,A,Phantasm
1999,UA,Austin Powers: The Spy Who Shagged Me
2002,R,May
2012,UA,John Carter
1986,U,Crocodile Dundee
2018,UA,Mamma Mia! Here We Go Again
2000,A,"Me, Myself & Irene"
I 2012,18,Anna Karenina
1983,A,Psycho II
2010,UA,Prince of Persia: The Sands of Time
1997,A,Gummo
1999,U,The 13th Warrior
2012,UA,The Bourne Legacy
2021,16,The Harder They Fall
2005,U,Nanny McPhee
1999,R,8MM
2022,UA 13+,Kampen om Narvik
2021,A,Operation Mincemeat
1988,Not Rated,The Great Outdoors
2016,UA,The Lost City of Z
2019,U,Maleficent: Mistress of Evil
2022,A,Causeway
I 2005,U,Hitch
2019,U,The Lego Movie 2: The Second Part
2004,U,The Polar Express
1986,U,Short Circuit
1993,UA,The Pelican Brief
1986,Not Rated,From Beyond
2021,R,Stillwater
2001,R,Joy Ride
II 2022,U,Devotion
2015,U,Hotel Transylvania 2
I 2021,A,Cherry
I 2013,A,The Heat
2018,PG,Forever My Girl
2006,R,Smokin' Aces
1981,R,Mommie Dearest
2004,UA,The Chronicles of Riddick
2018,UA,Hunter Killer
2010,R,Machete
2022,UA 13+,Whitney Houston: I Wanna Dance with Somebody
I 2018,UA,Adrift
2013,UA,RED 2
2014,R,Inherent Vice
2021,18,Fear Street: 1666
2020,18,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan
2003,A,Tears of the Sun
1985,A,DÃ¨moni
2009,Not Rated,The Loved Ones
2018,PG-13,Operation Finale
2021,UA,Spencer
1998,A,A Perfect Murder
2002,Not Rated,The Rules of Attraction
1981,A,Heavy Metal
2010,R,Edge of Darkness
2018,R,Lords of Chaos
2023,A,AKA
2018,Not Rated,The Miseducation of Cameron Post
1995,A,Copycat
2021,18,Malcolm & Marie
2022,UA 16+,Spirited
2019,A,The Informer
1997,A,Kiss the Girls
2006,U,Flushed Away
2011,U,Puss in Boots
1981,Not Rated,...E tu vivrai nel terrore! L'aldilÃ 
1992,UA,Far and Away
1999,U,For Love of the Game
1995,U,Outbreak
1986,UA,Back to School
1995,PG-13,Powder
2000,UA,Shanghai Noon
2008,A,Eagle Eye
2020,13,Happiest Season
1995,PG,Heavyweights
2008,UA,Australia
I 2019,18,Avengement
2019,R,The Art of Self-Defense
1987,U,Summer School
1972,U,Silent Running
I 2015,R,Macbeth
1975,U,Rollerball
1974,Not Rated,Il portiere di notte
2005,R,The Great Raid
2003,U,The Rundown
2003,UA,Bad Boys II
II 2018,UA,Alpha
2008,U,Madagascar: Escape 2 Africa
2016,R,The Girl with All the Gifts
1991,R,New Jack City
1993,U,Hot Shots! Part Deux
2011,PG,Diary of a Wimpy Kid: Rodrick Rules
2018,UA,Midnight Sun
2008,PG-13,Brideshead Revisited
1987,Not Rated,*batteries not included
1995,U,French Kiss
2000,PG,Titan A.E.
1983,Not Rated,Mr. Mom
2014,R,"Men, Women & Children"
1997,R,Midnight in the Garden of Good and Evil
1980,Not Rated,The Final Countdown
2007,A,Shoot 'Em Up
1989,A,Black Rain
1998,R,Half Baked
1984,Not Rated,The Company of Wolves
2011,Not Rated,Ronal Barbaren
1970,U,Airport
2020,18,All the Bright Places
1994,U,Star Trek: Generations
1986,U,The Mosquito Coast
2002,U,Tuck Everlasting
2018,U,Peter Rabbit
2021,UA 16+,The Eyes of Tammy Faye
1985,Not Rated,The Legend of Billie Jean
1988,U,Oliver & Company
2017,A,Going in Style
2018,PG-13,Kursk
1996,UA,Courage Under Fire
2014,PG,Penguins of Madagascar
1994,U,Above the Rim
2015,R,Run All Night
1994,U,Reality Bites
2023,A,Kill Bok-soon
1998,A,Lethal Weapon 4
2017,UA,Raees
2000,R,The Way of the Gun
1966,A,"Dracula, Prince of Darkness"
1981,U,Dragonslayer
I 2005,R,Derailed
I 2015,PG,Max
2017,(Banned),Ingrid Goes West
2007,PG-13,My Blueberry Nights
2011,Not Rated,Snowtown
1996,PG,Emma
2009,R,The Bad Lieutenant: Port of Call - New Orleans
2019,A,21 Bridges
1984,U,Star Trek III: The Search for Spock
2013,U,Epic
1975,Not Rated,Tommy
2013,R,Bad Words
1977,U,"New York, New York"
1987,U,Roxanne
1980,U,Fame
2023,UA 13+,Bawaal
2023,A,Bloody Daddy
1983,U,Yentl
2012,R,Promised Land
1996,U,White Squall
2006,PG-13,Dreamgirls
2021,PG-13,Respect
1976,Not Rated,The Man Who Fell to Earth
2002,R,Dark Blue
2016,PG-13,CafÃ© Society
I 2019,18,Luce
2013,R,CBGB
2003,A,The Recruit
2019,16,The Red Sea Diving Resort
2016,PG-13,Midnight Special
1988,Not Rated,I'm Gonna Git You Sucka
2017,Not Rated,Super Dark Times
2012,UA,Man on a Ledge
2008,PG-13,Easy Virtue
2006,UA,16 Blocks
2015,A,The Wedding Ringer
2009,R,I Love You Phillip Morris
2015,R,BÃ¸lgen
2017,UA,Thoroughbreds
2016,R,Hands of Stone
1981,Not Rated,Victory
2014,R,The Homesman
1993,R,Judgment Night
1983,A,Sudden Impact
I 2021,13,Fatherhood
1981,UA,Outland
2018,R,"Juliet, Naked"
1998,R,High Art
2008,PG-13,Nick and Norah's Infinite Playlist
2017,PG-13,The Book of Henry
2016,PG-13,Brain on Fire
2011,PG-13,Like Crazy
1952,U,The Greatest Show on Earth
2013,Not Rated,These Final Hours
2020,PG,The One and Only Ivan
2019,PG-13,The Aeronauts
2016,PG-13,The Hollars
2004,R,The Door in the Floor
2006,PG-13,Scoop
2001,U,Kiss of the Dragon
2008,R,Pride and Glory
1989,Not Rated,Meet the Feebles
2016,R,Whiskey Tango Foxtrot
